2023-06-29 18:07:23,120 | train | INFO | Set Logger C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230629_180723
2023-06-29 18:07:23,467 | train | INFO | Load data, train:42000 val:6000
2023-06-29 18:07:23,781 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-06-29 18:07:23,792 | train | INFO | --Train 0/15
2023-06-29 18:07:36,476 | train | INFO | batch: 0/1312 loss: 0.7119373679161072
2023-06-29 18:08:51,272 | train | INFO | batch: 100/1312 loss: 0.21105016767978668
2023-06-29 18:10:07,806 | train | INFO | batch: 200/1312 loss: 0.13159960508346558
2023-06-29 18:11:23,802 | train | INFO | batch: 300/1312 loss: 0.24177542328834534
2023-06-29 18:12:37,515 | train | INFO | batch: 400/1312 loss: 0.08649304509162903
2023-06-29 18:13:51,109 | train | INFO | batch: 500/1312 loss: 0.18137528002262115
2023-06-29 18:15:04,561 | train | INFO | batch: 600/1312 loss: 0.19349859654903412
2023-06-29 18:16:18,212 | train | INFO | batch: 700/1312 loss: 0.025013625621795654
2023-06-29 18:17:30,683 | train | INFO | batch: 800/1312 loss: 0.2101321965456009
2023-06-29 18:18:42,127 | train | INFO | batch: 900/1312 loss: 0.05178938806056976
2023-06-29 18:19:53,790 | train | INFO | batch: 1000/1312 loss: 0.03508215397596359
2023-06-29 18:21:05,709 | train | INFO | batch: 1100/1312 loss: 0.3073568344116211
2023-06-29 18:22:17,227 | train | INFO | batch: 1200/1312 loss: 0.28137844800949097
2023-06-29 18:23:28,032 | train | INFO | batch: 1300/1312 loss: 0.15434183180332184
2023-06-29 18:23:37,218 | train | INFO | --Val 0/15
2023-06-29 18:23:45,911 | train | INFO | batch: 0/187 loss: 0.08229177445173264
2023-06-29 18:24:32,661 | train | INFO | batch: 100/187 loss: 0.037875302135944366
2023-06-29 18:25:14,077 | train | INFO | Write row 0
2023-06-29 18:25:15,376 | train | INFO | Early stopper, counter 0/10, best:0.9725935828877005 -> now:0.9725935828877005
2023-06-29 18:25:15,376 | train | INFO | Set counter as 0
2023-06-29 18:25:15,376 | train | INFO | Update best score as 0.9725935828877005
2023-06-29 18:25:15,579 | train | INFO | Recorder, epoch 0 Model saved: C:\Users\EHmin\Fake_or_Real\baseline\results\train\20230629_180723\model.pt
2023-06-29 18:25:15,579 | train | INFO | --Train 1/15
2023-06-29 18:25:24,500 | train | INFO | batch: 0/1312 loss: 0.09911304712295532
